Match_ID,Blue_Team,Red_Team,Blue_Missing_Smite,Red_Missing_Smite,Blue_Win_Probability_%,Red_Win_Probability_%,Primary_Deciding_Factor,Factor_Impact
1,"Kennen, Kindred, Orianna, Gnar, Riven","Lee Sin, Malzahar, Thresh, Aatrox, Viktor",No,No,76.94,23.06,Red Team Synergy,-7.69
2,"Yorick, Lux, Sona, Ziggs, Aurelion Sol","Jayce, Veigar, Dr. Mundo, Mordekaiser, Soraka",No,No,48.17,51.83,Blue Counter-Pick Advantage,-8.67
3,"Malphite, Jax, LeBlanc, None, Alistar","Draven, Fizz, Taliyah, Kalista, Riven",No,No,28.08,71.92,Red Team Synergy,-7.14
4,"Yorick, Vladimir, Corki, Karma, Morgana","Rumble, Olaf, Renekton, Sivir, Janna",No,No,16.96,83.04,Blue Draft Strength,-11.91
5,"Nocturne, Dr. Mundo, Zac, Kayle, Poppy","Kindred, Xerath, Ahri, Nunu, Ezreal",No,No,81.01,18.99,Blue Draft Strength,-11.0
6,"Viktor, Sejuani, Swain, Lucian, Poppy","Shen, Orianna, Irelia, Leona, Kayn",No,No,53.06,46.94,Blue Draft Strength,-5.97
7,"Shen, Vladimir, Blitzcrank, Soraka, Vayne","Sivir, Veigar, Zilean, Fizz, Teemo",No,No,26.21,73.79,Red Draft Strength,6.67
8,"Darius, Galio, Aurelion Sol, Fiddlesticks, Trundle","Caitlyn, Rek'Sai, Malzahar, Nocturne, Evelynn",No,No,47.22,52.78,Blue Draft Strength,-11.47
9,"Riven, Cho'Gath, Tahm Kench, Cassiopeia, Viktor","Nautilus, Ekko, Shen, Aurelion Sol, Yorick",No,No,18.41,81.59,Blue Team Synergy,9.63
10,"Heimerdinger, Twitch, Camille, Cassiopeia, Lulu","Vayne, Fiora, Nocturne, Sona, Rengar",No,No,25.5,74.5,Blue Counter-Pick Advantage,11.09
11,"Nasus, Zilean, Pantheon, Shen, Blitzcrank","Kha'Zix, Yorick, Kalista, None, Olaf",YES,No,36.08,63.92,Severe Tactical Spell Error,-37.5
12,"Jayce, Diana, Wukong, Soraka, Braum","Varus, Anivia, Nautilus, Ryze, Ashe",No,No,87.41,12.59,Red Team Synergy,-18.86
13,"Zyra, Fiddlesticks, Bard, Malzahar, Karthus","Taliyah, Yasuo, Shaco, Veigar, Tristana",No,No,76.35,23.65,Blue Counter-Pick Advantage,-9.73
14,"Riven, Nidalee, Bard, Lee Sin, Gangplank","Xin Zhao, Kalista, Leona, Galio, Garen",YES,No,3.57,96.43,Severe Tactical Spell Error,-37.5
15,"Renekton, Xerath, Rumble, Irelia, Rengar","Vel'Koz, Zyra, Jinx, Zilean, Veigar",No,No,82.06,17.94,Blue Counter-Pick Advantage,-14.4
16,"Tristana, Riven, Renekton, Brand, Swain","Zyra, Lulu, Poppy, Lux, Anivia",No,No,62.51,37.49,Red Draft Strength,4.16
17,"Viktor, Lissandra, Caitlyn, Nami, Kayn","Hecarim, Galio, Kassadin, Jinx, Nidalee",No,No,22.57,77.43,Red Draft Strength,11.34
18,"Fizz, Jarvan IV, Janna, Gragas, Shaco","Rek'Sai, Trundle, Tristana, Master Yi, Xerath",No,No,57.4,42.6,Blue Team Synergy,-7.17
19,"Heimerdinger, Rammus, Vel'Koz, Ziggs, Graves","Lee Sin, Lulu, Tryndamere, Ryze, Ezreal",No,No,83.87,16.13,Red Team Synergy,-11.14
20,"Rammus, Rek'Sai, Lulu, Kog'Maw, Kalista","Yasuo, Blitzcrank, Rumble, Draven, Lux",No,No,53.28,46.72,Blue Team Synergy,6.07
21,"Shaco, Fizz, Kayn, Master Yi, Jhin","Karthus, Caitlyn, Thresh, Yasuo, Orianna",No,No,62.4,37.6,Red Team Synergy,-5.03
22,"Amumu, Evelynn, Rumble, Maokai, Fiora","Orianna, Jax, Ahri, Taliyah, Ezreal",No,No,86.68,13.32,Blue Draft Strength,-11.78
23,"Hecarim, Kha'Zix, Kayn, Annie, Ezreal","Aurelion Sol, Caitlyn, Shen, Kassadin, Vi",YES,No,28.21,71.79,Severe Tactical Spell Error,-37.5
24,"Xayah, Blitzcrank, None, Aurelion Sol, Camille","Jinx, Thresh, Master Yi, Ryze, Vayne",No,No,64.57,35.43,Red Team Synergy,-9.88
25,"Warwick, Rakan, Mordekaiser, Fizz, Yorick","Volibear, Zac, Sona, Jinx, Rumble",No,No,43.05,56.95,Red Team Synergy,5.68
26,"Nasus, Rumble, Galio, Vayne, Rengar","Udyr, Alistar, LeBlanc, Blitzcrank, Taric",No,No,58.95,41.05,Red Team Synergy,-8.25
27,"Lux, Aurelion Sol, Annie, Kled, Jayce","Zyra, Fiddlesticks, Karma, Nocturne, Corki",No,No,50.71,49.29,Red Draft Strength,18.01
28,"Kalista, Kha'Zix, Sejuani, Kassadin, Camille","Varus, Kayle, Aatrox, Vayne, Hecarim",YES,No,13.65,86.35,Severe Tactical Spell Error,-37.5
29,"Jhin, Fiddlesticks, Nautilus, Lucian, Azir","Poppy, Miss Fortune, Mordekaiser, Jinx, Varus",No,No,35.19,64.81,Blue Team Synergy,13.5
30,"Maokai, Jinx, Hecarim, Lissandra, Leona","Corki, Shen, Nami, Talon, Nocturne",No,No,33.2,66.8,Red Draft Strength,8.95
